#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,oh-my-zsh,"is a ZSH configuration."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,zsh-autosuggestions,"provides syntax highlighting in the shell."
A,ulauncher,"is an App launcher."
A,task-spooler,"queues commands or files for download."
,neovim,"is a tidier vim with some useful features"
,docker,"is a container support."
,docker-compose,"is a container support."
,libvirt,"is a virtualization interface."
,virt-manager,"is a GUI for libvirt."
,qemu,"is a virtualization runner."
,wpa-supplicant,"is a Wi-Fi software."
,xorg-server,"is the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,exfat-utils,"allows management of FAT drives."
,gwenview,"is a minimalist image viewer."
,mpv,"is the patrician's choice video player."
,nvidia,"is a graphics driver."
,sddm,"is a desktop environment."
,plasma-desktop,"is a desktop environment."
,plasma-nm,"is a NetworkManager GUI."
,konsole,"is a terminal emulator."
,kdeconnect,"is an android device manager."
,dolphin,"is a file manager."
,ark,"is a file manager."
,systemsettings,"KDE settings application."
,firefox,"is an open-source browser."
,deluge,"is a torrent client."
,speedcrunch,"is a torrent client."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,kmix,"is a command-line audio interface."
,spectacle,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,okular,"is a pdf viewer."
,calibre,"is a book library."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,htop,"is a graphical and colorful system monitor."
